id,construidos_m,utiles_m,habitaciones,ba�os,terraza,balcon,estado,orientacion,garaje,a�o_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
0,95,82,3,1,SI,NO,Buen estado,este,NO,1975,NO,4,NO,NO,NO,Igualada,Centre,e,65000,65000,Piso en venta en calle de Santa Anna s/n
1,87,87,3,1,NO,NO,Buen estado,NA,NO,1960,NO,4,SI,NO,NO,Igualada,Centre,c,118500,118500,"Piso en venta en rambla Sant Isidre, 21"
2,110,110,3,2,SI,NO,Buen estado,NA,NO,2007,SI,1,SI,NO,NO,Igualada,Centre,e,144000,144000,Dúplex en venta en Sant Bartomeu
3,78,78,2,2,SI,NO,Buen estado,NA,NO,2007,SI,1,SI,NO,NO,Igualada,Centre,e,139000,139000,Dúplex en venta en Sant Bartomeu
4,186,154,3,3,SI,NO,Buen estado,"este,",SI,2006,SI,-1,NO,NO,NO,Igualada,Igualada,e,199000,210000,Casa o chalet independiente en venta en Ponent
5,114,80,4,2,NO,SI,Buen estado,norte,NO,1970,SI,1,SI,NO,NO,Igualada,Igualada,NO,79500,79500,Piso en venta en Centre
6,80,75,4,1,NO,NO,Buen estado,sur,SI,1974,NO,1,NO,NO,NO,Igualada,Ponent,e,99000,99000,Piso en venta en calle del Pare Salvador Font s/n
7,794,420,10,6,SI,NO,Buen estado,NA,SI,-2022,SI,-1,NO,NO,Jardín,Igualada,Igualada,g,795000,795000,Masía en venta en Pla de Sant Magi
8,78,68,2,2,SI,SI,Buen estado,NA,NO,2007,NO,-1,SI,NO,NO,Igualada,Centre,e,139000,139000,Dúplex en venta en calle de Sant Bartomeu
9,91,68,3,2,SI,SI,Buen estado,norte,SI,2015,SI,3,SI,NO,NO,Igualada,Igualada,e,197000,200000,Dúplex en venta en Llevant
10,95,75,3,1,NO,SI,Buen estado,sur,SI,1975,SI,3,SI,SI,NO,Igualada,Igualada,e,136000,142500,Piso en venta en Llevant
11,264,194,4,4,SI,NO,Buen estado,norte,SI,1963,SI,-1,NO,NO,NO,Igualada,Ponent,NO,250000,250000,Chalet pareado en venta en calle de Nostra Senyora d'Àfrica
12,74,58,3,1,NO,NO,Buen estado,sur,NO,1975,SI,2,NO,NO,NO,Igualada,Igualada,e,120000,120000,Piso en venta en Llevant
13,95,90,4,1,NO,NO,Buen estado,norte,NO,1974,NO,1,SI,NO,NO,Igualada,Igualada,d,125000,125000,Piso en venta en Llevant
14,271,231,8,3,SI,SI,Buen estado,sur,SI,1950,SI,-1,NO,NO,Jardín,Igualada,Igualada,NO,330000,330000,Casa o chalet independiente en venta en Pla de Sant Magi
15,200,136,4,2,SI,SI,Buen estado,NA,SI,2006,SI,1,SI,SI,NO,Igualada,Igualada,f,365000,365000,Piso en venta en Pla de Sant Magi
16,317,278,8,3,SI,SI,Por reformar,sur,SI,1939,NO,-1,NO,NO,Jardín,Igualada,Igualada,NO,166000,166000,Casa o chalet independiente en venta en Les Comes
17,96,83,3,1,NO,NO,Buen estado,sur,NO,1900,SI,2,NO,NO,NO,Igualada,Igualada,e,109000,109000,Piso en venta en Centre
18,85,80,4,1,NO,SI,Buen estado,NA,NO,1967,SI,1,NO,NO,NO,Igualada,Ponent,e,119000,119000,Piso en venta en Av. pietat
19,90,86,3,2,SI,NO,Buen estado,"sur,",SI,2003,SI,2,SI,NO,NO,Igualada,Igualada,d,186495,192500,Piso en venta en Les Comes
20,335,300,3,2,SI,NO,Buen estado,oeste,SI,1998,SI,-1,NO,SI,Jardín,Igualada,Sesoliveres la Massa,NO,475000,475000,Chalet adosado en venta en calle la Segarra
21,141,121,3,2,SI,NO,Buen estado,sur,SI,-2022,SI,1,SI,NO,NO,Igualada,Igualada,a,250000,250000,Piso en venta en Pla de Sant Magi
22,128,124,3,4,SI,NO,Buen estado,"norte,",NO,1952,SI,1,NO,SI,NO,Igualada,Igualada,f,280000,280000,Piso en venta en Llevant
23,90,77,3,1,NO,NO,Buen estado,"norte,",SI,1995,SI,3,SI,NO,NO,Igualada,Igualada,e,145000,145000,Piso en venta en Les Comes
24,110,107,4,2,SI,SI,Buen estado,este,NO,1976,SI,4,SI,SI,NO,Igualada,Igualada,e,160000,160000,Piso en venta en Pla de Sant Magi
25,100,81,4,1,SI,SI,Buen estado,sur,NO,1975,SI,2,SI,NO,NO,Igualada,Igualada,e,140000,140000,Piso en venta en Llevant
26,90,80,3,1,NO,SI,Buen estado,norte,SI,2001,SI,1,SI,SI,NO,Igualada,Igualada,e,138000,138000,Piso en venta en Ponent
27,200,173,4,3,SI,NO,Buen estado,"norte,",SI,2000,SI,-1,NO,NO,NO,Igualada,Igualada,e,279000,279000,Casa o chalet independiente en venta en Centre
28,286,211,3,3,SI,SI,Buen estado,NA,SI,1995,NO,-1,NO,NO,Jardín,Igualada,Igualada,e,330000,340000,Chalet adosado en venta en Les Comes
29,110,95,2,1,SI,SI,Buen estado,sur,NO,1970,SI,2,NO,SI,NO,Igualada,Centre,NO,135000,135000,Piso en venta en SOLEDAD s/n
30,68,62,3,2,NO,NO,Buen estado,NA,NO,2000,SI,1,SI,NO,NO,Igualada,Centre,NO,165000,165000,Piso en venta en rambla General Vives
31,303,263,3,4,SI,NO,Buen estado,"norte,",NO,1900,SI,-1,NO,SI,NO,Igualada,Igualada,d,249000,249000,Casa o chalet independiente en venta en Centre
32,54,42,2,1,NO,NO,Buen estado,este,NO,1956,SI,1,NO,NO,NO,Igualada,Igualada,f,62000,65000,Piso en venta en Llevant
33,428,400,4,1,NO,SI,Buen estado,sur,SI,1968,SI,-1,NO,NO,NO,Igualada,Centre,NO,385000,385000,Chalet adosado en venta en balmes
34,155,117,3,2,SI,SI,Buen estado,NA,NO,2012,NO,3,SI,NO,NO,Igualada,Igualada,e,190000,190000,Dúplex en venta en Llevant
35,108,107,3,3,NO,SI,Buen estado,"norte,",NO,2008,SI,2,SI,NO,Zonas verdes,Igualada,Ponent,e,149000,149000,Dúplex en venta en avenida del Mestre Montaner
36,227,119,5,2,NO,SI,Buen estado,"este,",SI,1995,SI,-1,NO,SI,Jardín,Igualada,Igualada,e,298999,298999,Chalet adosado en venta en Les Comes
37,109,86,3,2,NO,SI,Buen estado,"sur,",SI,1992,SI,4,SI,SI,NO,Igualada,Igualada,e,220000,220000,Piso en venta en Ponent
38,89,89,4,2,NO,SI,Buen estado,oeste,NO,-2022,SI,3,SI,SI,NO,Igualada,Centre,e,165000,165000,"Piso en venta en calle de les Delícies, 6"
39,115,105,4,1,NO,NO,Buen estado,sur,NO,-2022,NO,1,NO,NO,NO,Igualada,Igualada,NO,165000,165000,Piso en venta en Llevant
40,91,90,4,1,NO,NO,Buen estado,NA,SI,-2022,NO,1,SI,NO,NO,Igualada,Pla de Sant Magi,b,125000,125000,"Piso en venta en SANTA TERESA, 6"
41,85,1,2,2,SI,NO,Buen estado,norte,SI,2006,SI,3,SI,SI,NO,Igualada,Llevant,e,155000,155000,Dúplex en venta en calle de Salvador Murt
42,168,110,4,2,SI,NO,Buen estado,NA,NO,1980,SI,5,SI,SI,NO,Igualada,Pla de Sant Magi,c,280000,280000,Piso en venta en calle de Capellades
43,200,160,4,3,SI,NO,Buen estado,NA,SI,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,NO,199000,199000,Casa o chalet independiente en venta en Ponent
44,154,154,3,2,SI,NO,Buen estado,NA,NO,2003,SI,-1,SI,SI,NO,Igualada,Centre,e,185000,195000,Dúplex en venta en calle Santa Maria
45,119,109,4,2,NO,NO,Buen estado,NA,SI,2006,NO,3,SI,NO,NO,Igualada,Llevant,e,162000,162000,Dúplex en venta en calle de Salvador Murt
